"source","target","type","weight"
1,3,"undirected",146
1,5,"undirected",2418
1,6,"undirected",2265
1,7,"undirected",812
1,8,"undirected",184
1,9,"undirected",1
1,13,"undirected",4
1,14,"undirected",3
1,18,"undirected",3
1,19,"undirected",8
1,22,"undirected",4
1,23,"undirected",231
1,24,"undirected",284
1,25,"undirected",1
1,26,"undirected",22
1,28,"undirected",3
1,29,"undirected",20
1,30,"undirected",1
1,31,"undirected",130
1,32,"undirected",21
1,34,"undirected",4
1,35,"undirected",18
1,38,"undirected",57
1,41,"undirected",13
1,42,"undirected",72
1,44,"undirected",22
1,45,"undirected",29
1,56,"undirected",1
1,57,"undirected",4
1,58,"undirected",1
1,62,"undirected",68
1,63,"undirected",48
1,64,"undirected",914
1,65,"undirected",2
1,66,"undirected",1
1,69,"undirected",13
1,70,"undirected",242
1,71,"undirected",27
1,72,"undirected",1
1,73,"undirected",70
1,76,"undirected",4
1,77,"undirected",9
1,81,"undirected",7
1,83,"undirected",17
1,85,"undirected",1
1,86,"undirected",49
1,87,"undirected",65
1,90,"undirected",2
1,91,"undirected",2
1,106,"undirected",16
1,107,"undirected",20
1,108,"undirected",6
1,110,"undirected",4
1,111,"undirected",18
1,112,"undirected",33
1,114,"undirected",10
1,115,"undirected",7
1,116,"undirected",36
1,117,"undirected",105
1,118,"undirected",3
2,3,"undirected",1
2,4,"undirected",1
2,6,"undirected",56
2,26,"undirected",1
2,41,"undirected",1
2,44,"undirected",1
2,62,"undirected",4
2,71,"undirected",1
2,83,"undirected",3
2,87,"undirected",1
2,93,"undirected",16
2,95,"undirected",19
2,106,"undirected",1
2,116,"undirected",4
2,117,"undirected",3
3,5,"undirected",715
3,6,"undirected",24
3,7,"undirected",11
3,8,"undirected",5
3,10,"undirected",1
3,24,"undirected",1
3,42,"undirected",2
3,63,"undirected",1
3,64,"undirected",1
3,69,"undirected",2
3,73,"undirected",1
3,85,"undirected",1
3,86,"undirected",1
3,87,"undirected",2
3,106,"undirected",1
3,107,"undirected",2
3,112,"undirected",1
3,114,"undirected",1
3,116,"undirected",4
3,117,"undirected",1
4,5,"undirected",7
4,6,"undirected",12
4,8,"undirected",1
4,10,"undirected",1
4,24,"undirected",1
4,29,"undirected",2
4,31,"undirected",7
4,69,"undirected",3
4,70,"undirected",2
4,73,"undirected",6
4,86,"undirected",1
4,90,"undirected",1
4,114,"undirected",1
4,116,"undirected",2
5,6,"undirected",634
5,7,"undirected",261
5,8,"undirected",114
5,10,"undirected",4
5,19,"undirected",1
5,23,"undirected",4
5,24,"undirected",12
5,29,"undirected",2
5,30,"undirected",1
5,31,"undirected",3
5,38,"undirected",7
5,42,"undirected",8
5,44,"undirected",3
5,45,"undirected",3
5,62,"undirected",7
5,63,"undirected",11
5,64,"undirected",88
5,69,"undirected",8
5,70,"undirected",50
5,71,"undirected",3
5,72,"undirected",1
5,73,"undirected",33
5,83,"undirected",1
5,86,"undirected",10
5,87,"undirected",18
5,89,"undirected",2
5,94,"undirected",1
5,106,"undirected",2
5,114,"undirected",3
5,116,"undirected",2
5,117,"undirected",8
6,7,"undirected",616
6,8,"undirected",115
6,9,"undirected",10
6,10,"undirected",65
6,11,"undirected",7
6,12,"undirected",2
6,13,"undirected",34
6,14,"undirected",2
6,15,"undirected",10
6,17,"undirected",13
6,18,"undirected",43
6,19,"undirected",101
6,21,"undirected",6
6,22,"undirected",31
6,23,"undirected",777
6,24,"undirected",855
6,25,"undirected",5
6,26,"undirected",482
6,28,"undirected",19
6,29,"undirected",215
6,31,"undirected",183
6,32,"undirected",154
6,33,"undirected",34
6,34,"undirected",38
6,35,"undirected",34
6,37,"undirected",39
6,38,"undirected",177
6,41,"undirected",179
6,42,"undirected",2428
6,44,"undirected",581
6,45,"undirected",861
6,53,"undirected",1
6,55,"undirected",1
6,56,"undirected",23
6,57,"undirected",24
6,58,"undirected",3
6,62,"undirected",68
6,63,"undirected",163
6,64,"undirected",1238
6,65,"undirected",2
6,66,"undirected",6
6,69,"undirected",189
6,70,"undirected",144
6,71,"undirected",56
6,72,"undirected",119
6,73,"undirected",27
6,76,"undirected",3
6,77,"undirected",37
6,78,"undirected",1
6,81,"undirected",15
6,83,"undirected",1968
6,84,"undirected",1
6,85,"undirected",73
6,86,"undirected",1189
6,87,"undirected",717
6,88,"undirected",1
