"source","target","type","weight"
1,2,"undirected",449
1,3,"undirected",649
1,8,"undirected",4
1,10,"undirected",3
1,13,"undirected",29
1,14,"undirected",44
1,15,"undirected",63
1,16,"undirected",105
1,17,"undirected",163
1,18,"undirected",603
1,19,"undirected",43
1,21,"undirected",301
1,22,"undirected",35
1,23,"undirected",74
1,25,"undirected",12
1,27,"undirected",2
1,30,"undirected",29
1,42,"undirected",3
1,45,"undirected",1
1,46,"undirected",3
1,64,"undirected",1
1,65,"undirected",1
1,66,"undirected",1
1,67,"undirected",1
1,76,"undirected",2
1,78,"undirected",3
1,83,"undirected",54
1,84,"undirected",4
1,85,"undirected",62
1,86,"undirected",74
1,87,"undirected",91
1,92,"undirected",1
1,93,"undirected",2
1,95,"undirected",13
1,98,"undirected",1
1,100,"undirected",1
1,102,"undirected",8
1,103,"undirected",3
1,104,"undirected",1
1,106,"undirected",1
1,108,"undirected",81
1,110,"undirected",16
1,111,"undirected",7
1,113,"undirected",5
1,114,"undirected",10
1,115,"undirected",4
1,122,"undirected",2
1,127,"undirected",3
1,133,"undirected",6
1,134,"undirected",7
1,135,"undirected",10
1,139,"undirected",1
1,140,"undirected",7
1,142,"undirected",1
1,144,"undirected",52
1,149,"undirected",1
1,150,"undirected",3
1,153,"undirected",4
1,155,"undirected",6
1,156,"undirected",1
1,158,"undirected",5
1,187,"undirected",1
1,188,"undirected",1
1,191,"undirected",1
1,200,"undirected",2
1,202,"undirected",2
1,203,"undirected",1
1,204,"undirected",3
1,206,"undirected",12
1,208,"undirected",81
1,209,"undirected",48
1,210,"undirected",97
1,211,"undirected",73
1,212,"undirected",23
1,213,"undirected",6
1,215,"undirected",20
1,216,"undirected",2
1,229,"undirected",33
1,230,"undirected",6
1,231,"undirected",21
1,232,"undirected",15
1,233,"undirected",2
1,234,"undirected",1
1,235,"undirected",1
1,241,"undirected",11
1,242,"undirected",10
1,243,"undirected",1
1,249,"undirected",3
1,252,"undirected",5
1,266,"undirected",3
1,268,"undirected",2
1,271,"undirected",1
1,273,"undirected",1
1,274,"undirected",6
1,275,"undirected",2
1,286,"undirected",9
1,288,"undirected",5
1,292,"undirected",2
1,296,"undirected",12
1,303,"undirected",1
1,304,"undirected",1
1,308,"undirected",1
1,340,"undirected",6
1,341,"undirected",5
1,344,"undirected",2
1,345,"undirected",1
1,346,"undirected",9
1,362,"undirected",1
1,363,"undirected",1
1,364,"undirected",4
1,365,"undirected",3
1,367,"undirected",1
1,368,"undirected",1
1,376,"undirected",1
1,379,"undirected",1
1,380,"undirected",1
1,381,"undirected",3
1,384,"undirected",2
1,385,"undirected",2
1,386,"undirected",1
1,387,"undirected",5
1,388,"undirected",31
1,389,"undirected",22
1,391,"undirected",2
2,3,"undirected",1155
2,7,"undirected",28
2,8,"undirected",8
2,9,"undirected",5
2,10,"undirected",47
2,13,"undirected",560
2,14,"undirected",178
2,15,"undirected",454
2,16,"undirected",279
2,17,"undirected",379
2,18,"undirected",351
2,19,"undirected",84
2,20,"undirected",5
2,21,"undirected",323
2,22,"undirected",16
2,23,"undirected",11
2,25,"undirected",6
2,30,"undirected",81
2,31,"undirected",1
2,63,"undirected",1
2,64,"undirected",1
2,66,"undirected",3
2,67,"undirected",1
2,74,"undirected",1
2,78,"undirected",14
2,79,"undirected",4
2,80,"undirected",1
2,81,"undirected",1
2,82,"undirected",8
2,83,"undirected",101
2,84,"undirected",29
2,85,"undirected",31
2,86,"undirected",10
2,87,"undirected",14
2,91,"undirected",1
2,92,"undirected",1
2,93,"undirected",3
2,102,"undirected",1
2,103,"undirected",5
2,104,"undirected",2
2,108,"undirected",24
2,114,"undirected",1
2,124,"undirected",2
2,127,"undirected",4
2,128,"undirected",1
2,134,"undirected",33
2,135,"undirected",1
2,140,"undirected",3
2,142,"undirected",1
2,143,"undirected",2
2,144,"undirected",14
2,145,"undirected",2
2,149,"undirected",6
2,150,"undirected",1
2,152,"undirected",4
2,155,"undirected",5
2,158,"undirected",11
2,187,"undirected",2
2,198,"undirected",20
2,199,"undirected",16
2,200,"undirected",12
2,201,"undirected",18
2,204,"undirected",25
2,206,"undirected",4
2,208,"undirected",150
2,209,"undirected",37
2,210,"undirected",91
2,211,"undirected",129
2,212,"undirected",142
2,213,"undirected",5
2,215,"undirected",1
2,219,"undirected",1
2,223,"undirected",2
