community,npapers,ntopic,most_topic,most_topic_median,median1,median2,median3,median4,median5,median6,median7,median8,median9,median10,median11,median12,median13,median14,median15,median16,median17,median18,median19
1,2,2,2,0.7313823295508509,NA,0.8677434440137369,NA,NA,NA,0.5950212150879649,NA,0.15674474773633426,NA,NA,NA,NA,NA,NA,NA,NA,0.11083709694197105,NA,NA
2,2244,19,17,0.7037843381190048,0.32854674835583797,0.2605284343198683,0.5439745546419485,0.5373280595475761,0.506851982681967,0.33715359212986595,0.37389966815947806,0.3832000333295861,0.7838004991765559,0.23802046717679218,0.4421405551463055,0.4679338517690104,0.5517426841100688,0.4058742757284116,0.49123867992199066,0.48600352543522635,0.30811102811695046,0.3557151423142645,0.21195163003866116
3,298,19,17,0.6737862616668441,0.31217535633144117,0.34206751716071326,0.4255619692301873,0.4236242302916641,0.5926803277338653,0.20208182173623418,0.26958655802604425,0.49597203322942174,0.6796563263767792,0.2512598588279933,0.4131205302813761,0.4046828289228366,0.3714826265896377,0.40438033235846166,0.5620473917712543,0.395828706277494,0.4712528618736648,0.3377680077560666,0.16201396622994207
4,318,19,9,0.6979676888195256,0.2901770977422854,0.31730978916559854,0.8472284187451661,0.6244365529310645,0.37976239454349775,0.2948207349162385,0.4457804112035465,0.42759424447146327,0.8876399451079798,0.2121020744323515,0.3272393361896311,0.4085344664974526,0.598544658498276,0.3856948731458706,0.32466126687330366,0.4000496269751197,0.2820337981871285,0.3391164129475291,0.22750830766386948
5,3,2,7,0.8278562300935441,NA,NA,NA,NA,NA,NA,0.9357216065718349,0.7199908536152534,NA,NA,NA,NA,NA,0.11381904275262557,NA,NA,NA,NA,NA
6,1741,19,9,0.689631126595349,0.31569098640717885,0.2645968463273904,0.5300973402272995,0.5921029673136488,0.5410240942161211,0.34949432005122694,0.369777526017789,0.4305981362262127,0.7530127760416352,0.24987103597831356,0.4735526353684547,0.5257138998968218,0.5635595562900539,0.4293974709791677,0.44504420302285475,0.30184358103759357,0.32496078178963783,0.31774196073228256,0.20760903237248146
7,1490,19,7,0.6802777693609844,0.3645007784816303,0.27207493042983766,0.49281139878641417,0.6153643223520203,0.5072568499323689,0.3260272098818425,0.37890146513489553,0.3087969532135566,0.7529844126837971,0.27766478895891805,0.5180509032783018,0.383021144636289,0.5574848456568917,0.42600154827981884,0.507290589625943,0.3471865410754383,0.2770218652740744,0.3387143925162036,0.2280066236973547
8,112,19,4,0.6491373644158864,0.37817043521409804,0.20887048339250425,0.44161172875809707,0.5884114220920216,0.72077416591476,0.33739379935977476,0.29516176950259004,0.39962144743897154,0.7548135701993341,0.2853828736261834,0.3868786886835958,0.5600938823040509,0.6915055840426988,0.3819695287322468,0.4147455222034846,0.41063502735802704,0.6239726602230979,0.4109561054768616,0.19950006586056326
9,1640,19,17,0.680357784513876,0.4011902931446255,0.32630478945677094,0.4506442681705008,0.5313606188163591,0.48576478156722036,0.30088465848361373,0.3668983117975963,0.3097490298897317,0.7557421277048104,0.2643571052195857,0.4086262273489939,0.514531621763914,0.638345761733734,0.3780269626279568,0.42581294458181246,0.5247380887939549,0.34340621870456267,0.32888701651274005,0.2199577586096803
10,393,19,9,0.6969215632433,0.333108498837212,0.2804872545594307,0.28015883333753894,0.4569950159289877,0.3882482855147606,0.31169763095175274,0.37565579859031806,0.5028555626546439,0.8420283698483699,0.2127694098830219,0.489876291031495,0.3162385655148502,0.3197432391637304,0.4851735007625632,0.5435498327949659,0.24693325862181234,0.33934671691839813,0.6396006663586344,0.23465944581329612
11,9,8,2,0.7588996872348095,NA,0.48373745061443163,0.5162907841526784,NA,0.13165847300085065,0.1704594839971601,0.5474925946050238,NA,NA,0.5162793904193862,0.4481186143893879,NA,NA,0.8591370814145171,0.8090345427666638,NA,0.843799495517876,NA,0.32981345251207234
12,612,19,9,0.6947118883491381,0.44783632145534524,0.32286853494153644,0.4722800495279308,0.6096177677269469,0.37289757264494894,0.3712353341855569,0.3479260627032774,0.32549724454214174,0.7656371551401526,0.25410634954223177,0.4781215831258952,0.4728540949880518,0.5773218842503927,0.4065664238040188,0.34457496397174514,0.3670378286895042,0.37442078369377363,0.3448162483269393,0.21808874410068657
13,859,19,7,0.6666956605431403,0.4536130153074279,0.24452514326837138,0.4958566769376145,0.521374244105932,0.4106366434643077,0.3111458718475178,0.45224964524800004,0.25909487994022024,0.7047573306087449,0.25222409224738834,0.3203415164596961,0.3620857220602579,0.33353063598607463,0.39130198564958674,0.5174724816744499,0.44476209907466446,0.3210224639482143,0.30436659838236196,0.19106321849374222
14,2,1,1,0.5449441420889218,0.5449441420889218,0.11493358701087751,NA,NA,NA,NA,0.14982855661891434,NA,NA,0.2994841642830194,NA,NA,NA,NA,NA,NA,NA,NA,0.1355558576746235
